<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
Z002E0040	130.0	50.0	144.5	16.0	3.35
Z002E0041	160.0	85.0	106.0	NaN	4.9
Z002E0042	130.0	55.0	134.0	15.0	4.2
Z002E0043	140.0	55.0	NaN	NaN	NaN
Z002E0044	110.0	45.0	79.0	14.0	2.9
Z002E0045	145.0	65.0	NaN	NaN	NaN
Z002E0046	160.0	100.0	129.0	18.0	4.75
Z002E0047	125.0	50.0	NaN	NaN	NaN
Z002E0048	120.0	50.0	127.0	18.0	3.3
Z002E0049	105.0	45.0	94.0	18.0	3.0
Z002E0050	135.0	60.0	133.5	17.0	3.8
Z002E0051	115.0	55.0	NaN	NaN	NaN
Z002E0052	215.0	115.0	181.5	15.0	6.0
Z002E0053	195.0	100.0	211.0	NaN	7.1
Z002E0054	160.0	85.0	NaN	NaN	NaN
Z002E0055	165.0	105.0	177.0	16.0	3.4
Z002E0056	135.0	70.0	NaN	NaN	NaN
Z002E0057	185.0	115.0	130.5	19.0	6.3
Z002E0058	130.0	60.0	142.0	12.0	4.5
Z002E0059	140.0	60.0	NaN	NaN	NaN
Z002E0060	NaN	42.5	NaN	NaN	NaN
Z002E0061	140.0	80.0	NaN	NaN	NaN
Z002E0062	155.0	75.0	162.5	14.0	6.9
Z002E0063	190.0	95.0	146.0	16.0	3.8
Z002E0064	155.0	110.0	153.0	16.0	4.7
Z002E0065	140.0	70.0	166.5	21.0	4.8
Z002E0066	NaN	NaN	NaN	NaN	NaN
Z002E0067	100.0	35.0	90.0	NaN	3.3
Z002E0068	160.0	75.0	195.0	14.0	9.0
Z002E0069	130.0	75.0	135.0	16.0	4.4
Z002E0070	170.0	100.0	NaN	NaN	NaN
Z002E0071	140.0	45.0	NaN	NaN	NaN
Z002E0072	150.0	60.0	133.5	16.0	3.35
Z002E0073	145.0	80.0	166.5	13.0	5.1
Z002E0074	165.0	80.0	NaN	NaN	NaN
Z002E0075	125.0	50.0	NaN	NaN	NaN
Z002E0076	195.0	120.0	191.5	18.0	6.15
Z002E0077	140.0	70.0	129.0	12.0	4.3
Z002E0078	125.0	50.0	NaN	NaN	NaN
Z002E0079	130.0	70.0	138.0	16.0	2.5
Z002E0080	175.0	90.0	209.0	16.0	4.8
Z002E0081	160.0	85.0	176.0	18.5	4.25
Z002E0082	160.0	70.0	165.0	12.0	5.2
Z002E0083	140.0	70.0	158.5	13.0	4.45
Z002E0084	185.0	85.0	154.0	NaN	5.85
Z002E0085	140.0	60.0	143.5	12.0	4.75
Z002E0086	150.0	50.0	176.0	18.0	5.35
Z002E0087	165.0	90.0	154.5	12.0	4.45
Z002E0088	170.0	105.0	170.0	16.0	4.2
Z002E0089	155.0	65.0	179.0	NaN	6.6
Z002E0090	180.0	85.0	133.0	16.0	5.8
Z002E0091	150.0	75.0	147.5	13.0	3.4
Z002E0092	165.0	80.0	172.0	16.0	5.6
Z002E0093	195.0	120.0	NaN	NaN	NaN
Z002E0094	110.0	40.0	NaN	NaN	NaN
Z002E0095	175.0	95.0	140.0	14.0	4.8
Z002E0096	175.0	100.0	134.0	12.0	6.1
Z002E0097	160.0	75.0	152.5	17.0	3.8
Z002E0098	155.0	70.0	131.0	16.0	3.6
Z002E0099	145.0	80.0	157.5	NaN	5.05
Z002E0100	175.0	80.0	NaN	NaN	NaN
Z002E0101	150.0	75.0	122.0	15.0	NaN
Z002E0102	100.0	40.0	NaN	NaN	NaN
Z002E0103	95.0	35.0	NaN	NaN	NaN
Z002E0104	150.0	85.0	165.0	16.0	3.8
Z002E0105	155.0	75.0	161.5	15.0	4.45
Z002E0106	150.0	85.0	NaN	NaN	NaN
Z002E0107	180.0	100.0	158.0	12.0	4.6
Z002E0108	150.0	80.0	164.0	20.0	5.3
Z002E0109	145.0	70.0	NaN	NaN	NaN
Z002E0110	145.0	85.0	NaN	NaN	NaN
Z002E0111	175.0	100.0	NaN	NaN	NaN
Z002E0112	160.0	80.0	150.0	12.0	2.6
Z002E0113	160.0	80.0	115.0	19.5	4.3
Z002E0114	160.0	85.0	117.0	16.0	3.6
Z002E0115	220.0	105.0	226.0	16.0	6.7
Z002E0116	110.0	60.0	NaN	NaN	NaN
Z002E0117	170.0	95.0	NaN	NaN	NaN
Z002E0118	190.0	100.0	126.0	16.0	4.3
Z002E0119	105.0	45.0	NaN	NaN	NaN
Z002E0120	150.0	75.0	NaN	NaN	NaN
Z002E0121	175.0	90.0	141.5	20.0	4.5
Z002E0122	170.0	105.0	150.0	16.0	3.6
Z002E0123	120.0	45.0	NaN	NaN	NaN
Z002E0124	190.0	110.0	195.5	14.0	6.5
Z002E0125	120.0	50.0	123.0	18.0	4.1
Z002E0126	120.0	60.0	130.0	14.0	2.2
Z002E0127	185.0	95.0	NaN	NaN	NaN
Z002E0128	135.0	60.0	148.0	17.0	3.9
Z002E0129	135.0	65.0	107.0	18.0	3.1
Z002E0130	155.0	85.0	164.0	18.0	5.0
Z002E0131	185.0	90.0	163.0	15.0	4.85
Z002E0132	185.0	95.0	135.0	16.0	3.8
Z002E0133	150.0	75.0	133.0	14.0	4.5
Z002E0134	115.0	45.0	137.0	12.0	3.2
Z002E0135	140.0	55.0	164.0	16.0	5.3
Z002E0136	100.0	40.0	133.0	16.0	5.0
Z002E0137	145.0	65.0	NaN	NaN	NaN
Z002E0138	145.0	65.0	143.0	NaN	4.5
Z002E0139	155.0	75.0	184.0	15.0	5.7
Z002E0140	130.0	70.0	149.0	12.0	4.5
Z002E0141	195.0	100.0	142.0	20.0	6.4
Z002E0142	260.0	140.0	222.5	15.0	7.25
Z002E0143	175.0	100.0	152.5	NaN	3.85
Z002E0144	155.0	65.0	113.0	10.0	5.6
Z002E0145	NaN	NaN	NaN	NaN	NaN
Z002E0146	125.0	60.0	NaN	NaN	NaN
Z002E0147	165.0	85.0	NaN	14.0	5.2
Z002E0148	120.0	75.0	116.0	12.0	3.3
Z002E0149	165.0	65.0	199.5	16.0	7.3
Z002E0150	150.0	70.0	148.0	18.0	3.6
Z002E0151	175.0	85.0	180.0	12.0	4.3
Z002E0152	85.0	35.0	NaN	NaN	NaN
Z002E0153	165.0	85.0	126.0	NaN	2.0
Z002E0154	195.0	105.0	171.5	14.0	6.35
Z002E0155	115.0	55.0	NaN	NaN	NaN
Z002E0156	125.0	60.0	128.0	14.0	3.2
Z002E0157	110.0	45.0	149.0	15.0	NaN
Z002E0158	145.0	55.0	145.0	16.0	3.5
Z002E0159	170.0	80.0	NaN	NaN	NaN
Z002E0160	170.0	80.0	NaN	NaN	NaN
Z002E0161	140.0	65.0	NaN	NaN	NaN
Z002E0162	140.0	70.0	NaN	NaN	NaN
Z002E0163	195.0	90.0	164.0	16.0	6.1
Z002E0164	180.0	95.0	146.0	15.0	4.6
Z002E0165	195.0	100.0	106.0	12.0	6.1
Z002E0166	155.0	75.0	138.0	14.0	5.3
Z002E0167	140.0	60.0	NaN	NaN	NaN
Z002E0168	170.0	80.0	154.25	NaN	4.733333333
Z002E0169	165.0	80.0	140.0	16.0	5.25
Z002E0170	130.0	70.0	129.0	18.0	2.3
Z002E0171	165.0	90.0	152.0	17.0	4.85
Z002E0172	185.0	95.0	NaN	NaN	NaN
Z002E0173	110.0	50.0	NaN	NaN	NaN
Z002E0174	125.0	55.0	138.0	18.0	4.6
Z002E0175	195.0	90.0	195.0	16.0	6.7
Z002E0176	180.0	110.0	163.0	12.0	4.5
Z002E0177	205.0	110.0	213.0	16.0	6.65
Z002E0178	120.0	60.0	147.0	16.0	4.6
Z002E0179	140.0	75.0	120.0	20.0	NaN
Z002E0180	130.0	60.0	124.5	17.0	2.6
Z002E0181	175.0	95.0	180.0	14.0	4.8
Z002E0182	170.0	80.0	193.0	19.0	5.8
Z002E0183	155.0	75.0	126.5	12.0	5.1
Z002E0184	160.0	100.0	157.5	15.0	3.45
Z002E0185	125.0	60.0	NaN	NaN	NaN
Z002E0186	145.0	80.0	163.0	18.0	5.1
Z002E0187	165.0	90.0	NaN	NaN	NaN
Z002E0188	180.0	95.0	NaN	NaN	NaN
Z002E0189	160.0	70.0	150.5	NaN	4.25
Z002E0190	NaN	NaN	NaN	NaN	NaN
Z002E0191	165.0	100.0	164.0	20.0	3.3
Z002E0192	180.0	95.0	132.0	14.0	5.5
Z002E0193	125.0	55.0	109.0	18.0	3.5
Z002E0194	205.0	115.0	144.5	18.0	5.5
Z002E0195	135.0	55.0	NaN	NaN	NaN
Z002E0196	175.0	100.0	206.0	16.0	5.5
Z002E0197	160.0	80.0	77.0	13.0	1.9
Z002E0198	180.0	90.0	147.0	18.0	4.65
Z002E0199	145.0	85.0	156.0	15.0	4.45
Z002E0200	145.0	75.0	152.5	16.0	5.2
Z002E0201	171.0	78.5	151.375	18.66666667	4.8625
Z002E0202	160.5	98.5	187.7777778	14.44444444	5.19
Z002E0207	NaN	NaN	NaN	NaN	NaN
Z002E0217	NaN	NaN	NaN	NaN	NaN
Z002E0271	NaN	NaN	NaN	NaN	NaN
Z003E0001	130.0	60.0	NaN	NaN	NaN
Z003E0002	175.0	95.0	NaN	NaN	NaN
Z003E0003	145.0	65.0	NaN	NaN	NaN
Z003E0004	185.0	95.0	136.0	16.0	4.35
Z003E0005	150.0	75.0	129.0	NaN	3.7
Z003E0006	185.0	80.0	147.0	14.0	3.9
Z003E0007	145.0	65.0	131.0	18.0	4.6
Z003E0008	145.0	65.0	149.0	14.0	3.7
Z003E0009	190.0	100.0	191.0	18.0	4.6
Z003E0010	140.0	75.0	111.0	16.0	2.9
Z003E0011	165.0	65.0	NaN	NaN	NaN
Z003E0012	160.0	75.0	NaN	NaN	NaN
Z003E0013	195.0	95.0	NaN	NaN	NaN
Z003E0014	150.0	55.0	NaN	NaN	NaN
Z003E0015	180.0	95.0	169.0	12.0	3.3
Z003E0016	155.0	95.0	95.0	14.0	2.7
Z003E0017	150.0	75.0	163.0	14.0	3.9
Z003E0018	200.0	115.0	157.0	14.0	7.5
Z003E0019	105.0	45.0	117.0	14.0	4.8
Z003E0020	155.0	65.0	146.0	16.0	3.9
Z003E0021	125.0	50.0	NaN	NaN	NaN
Z003E0022	165.0	60.0	NaN	NaN	NaN
Z003E0023	190.0	NaN	NaN	NaN	NaN
Z003E0024	145.0	60.0	NaN	NaN	NaN
Z003E0025	185.0	110.0	139.0	12.0	4.8
Z003E0026	160.0	75.0	121.0	14.0	5.1
Z003E0027	165.0	85.0	85.0	NaN	4.2
Z003E0028	180.0	115.0	NaN	NaN	NaN
Z003E0029	155.0	85.0	153.0	16.0	3.6
Z003E0030	165.0	85.0	NaN	NaN	NaN
Z003E0031	170.0	90.0	NaN	NaN	NaN
Z003E0032	170.0	80.0	NaN	NaN	NaN
Z003E0033	195.0	NaN	94.0	14.0	2.8
Z003E0034	175.0	85.0	NaN	NaN	NaN
Z003E0035	155.0	85.0	159.0	14.0	3.4
Z003E0036	145.0	65.0	132.0	14.0	6.4
Z003E0037	125.0	70.0	104.0	14.0	3.5
Z003E0038	165.0	80.0	182.0	18.0	3.3
Z003E0039	NaN	NaN	NaN	NaN	NaN
Z003E0040	170.0	65.0	NaN	NaN	NaN
Z003E0041	NaN	NaN	NaN	NaN	NaN
Z003E0042	150.0	NaN	NaN	NaN	NaN
Z003E0043	155.0	60.0	163.0	16.0	5.3
Z003E0044	155.0	70.0	NaN	NaN	NaN
Z003E0045	165.0	65.0	132.0	16.0	2.9
Z003E0046	145.0	70.0	138.0	14.0	6.6
Z003E0047	150.0	60.0	NaN	NaN	NaN
Z003E0048	170.0	95.0	NaN	NaN	NaN
Z003E0049	150.0	55.0	NaN	NaN	NaN
Z003E0050	140.0	55.0	NaN	16.0	2.9
Z003E0051	190.0	110.0	NaN	NaN	NaN
Z003E0052	112.5	47.5	120.0	16.0	4.2
Z003E0053	150.0	60.0	173.0	16.0	4.3
Z003E0054	170.0	100.0	NaN	NaN	NaN
Z003E0055	190.0	105.0	NaN	NaN	NaN
Z003E0056	155.0	80.0	172.0	16.0	2.4
Z003E0057	205.0	115.0	NaN	NaN	NaN
Z003E0058	150.0	55.0	96.0	12.0	2.2
Z003E0059	180.0	110.0	NaN	NaN	NaN
Z003E0060	195.0	100.0	158.0	16.0	3.5
Z003E0061	115.0	45.0	NaN	NaN	NaN
Z003E0062	200.0	115.0	NaN	NaN	NaN
Z003E0063	170.0	95.0	NaN	NaN	NaN
Z003E0064	190.0	110.0	190.0	16.0	6.7
Z003E0065	165.0	65.0	131.0	16.0	2.7
Z003E0066	150.0	60.0	99.0	20.0	2.1
Z003E0067	145.0	65.0	156.0	18.0	2.8
Z003E0068	140.0	55.0	108.0	14.0	3.2
Z003E0069	175.0	60.0	NaN	NaN	NaN
Z003E0070	195.0	85.0	136.0	16.0	4.3
Z003E0071	160.0	75.0	163.0	14.0	4.6
Z003E0072	185.0	85.0	132.0	NaN	3.2
Z003E0073	130.0	55.0	128.0	18.0	NaN
Z003E0074	175.0	105.0	NaN	NaN	NaN
Z003E0075	150.0	75.0	NaN	NaN	NaN
Z003E0076	130.0	60.0	128.0	17.0	7.8
Z003E0077	115.0	60.0	NaN	NaN	NaN
Z003E0078	190.0	105.0	163.0	14.0	3.4
Z003E0079	165.0	80.0	130.0	15.0	3.6
Z003E0080	140.0	65.0	155.0	14.0	3.1
Z003E0081	135.0	65.0	NaN	NaN	NaN
Z003E0082	135.0	55.0	187.0	NaN	4.1
Z003E0083	180.0	95.0	NaN	NaN	NaN
Z003E0084	135.0	45.0	101.0	16.0	2.0
Z003E0085	150.0	65.0	130.0	15.0	4.75
Z003E0086	120.0	35.0	105.0	12.0	3.2
Z003E0087	170.0	65.0	108.0	14.0	8.4
Z003E0088	122.5	50.0	NaN	NaN	NaN
Z003E0089	NaN	NaN	NaN	NaN	NaN
Z003E0090	140.0	75.0	120.0	NaN	3.0
Z003E0091	105.0	50.0	128.0	16.0	2.7
Z003E0092	160.0	65.0	144.0	14.0	4.2
Z003E0093	140.0	55.0	120.0	14.0	2.8
Z003E0094	162.5	72.5	NaN	NaN	NaN
Z003E0095	130.0	NaN	125.0	NaN	2.1
Z003E0096	160.0	75.0	92.0	15.0	2.1
Z003E0097	160.0	80.0	NaN	NaN	NaN
Z003E0098	175.0	75.0	144.0	18.0	NaN
Z003E0099	165.0	80.0	NaN	NaN	NaN
Z003E0100	145.0	70.0	123.0	16.0	8.5
Z003E0101	120.0	50.0	113.0	16.0	2.8
Z003E0102	155.0	65.0	84.0	14.0	3.3
Z003E0103	140.0	60.0	117.0	14.0	3.5
Z003E0104	135.0	60.0	149.0	18.0	3.7
Z003E0105	140.0	70.0	156.0	14.0	2.5
Z003E0106	145.0	55.0	163.0	14.0	5.7
Z003E0107	155.0	70.0	142.0	16.0	5.0
Z003E0108	NaN	NaN	NaN	NaN	NaN
Z003E0109	145.0	75.0	NaN	NaN	NaN
Z003E0110	175.0	95.0	128.0	13.0	4.15
Z003E0111	165.0	70.0	141.0	17.0	8.8
Z003E0112	140.0	62.5	135.0	14.0	3.5
Z003E0113	130.0	45.0	163.0	10.0	4.4
Z003E0114	155.0	80.0	133.0	12.0	4.4
Z003E0115	200.0	100.0	164.0	14.0	9.5
Z003E0116	165.0	90.0	NaN	NaN	NaN
Z003E0117	115.0	50.0	119.5	18.0	8.4
Z003E0118	190.0	110.0	131.0	20.5	3.2
Z003E0119	150.0	40.0	135.0	13.5	2.9
Z003E0120	155.0	80.0	147.0	20.0	2.7
Z003E0121	150.0	85.0	NaN	NaN	NaN
Z003E0122	120.0	65.0	134.0	14.0	3.2
Z003E0123	195.0	115.0	125.0	16.0	3.1
Z003E0124	155.0	65.0	140.0	18.0	3.7
Z003E0125	180.0	90.0	NaN	NaN	NaN
Z003E0126	150.0	80.0	106.0	16.0	3.2
Z003E0127	135.0	55.0	NaN	NaN	NaN
Z003E0128	150.0	60.0	132.0	14.0	5.4
Z003E0129	140.0	55.0	142.0	15.0	9.35
Z003E0130	150.0	75.0	129.0	NaN	NaN
Z003E0131	155.0	80.0	165.0	14.0	8.8
Z003E0132	145.0	60.0	154.0	17.0	4.1
Z003E0133	150.0	65.0	89.0	14.0	6.05
Z003E0134	145.0	80.0	152.0	16.0	NaN
Z003E0135	195.0	110.0	NaN	NaN	NaN
Z003E0136	145.0	70.0	NaN	NaN	NaN
Z003E0137	130.0	55.0	105.0	14.0	8.5
Z003E0138	170.0	65.0	161.0	16.0	9.6
Z003E0139	175.0	65.0	153.0	NaN	8.1
Z003E0140	175.0	65.0	158.0	14.0	3.3
Z003E0141	155.0	55.0	151.0	16.0	3.6
Z003E0142	145.0	60.0	133.0	16.0	2.8
Z003E0143	200.0	130.0	166.0	13.0	9.4
Z003E0144	185.0	80.0	NaN	NaN	NaN
Z003E0145	155.0	60.0	143.0	16.0	2.85
Z003E0146	NaN	NaN	NaN	NaN	NaN
Z003E0147	155.0	70.0	124.5	12.0	3.1
Z003E0148	125.0	45.0	131.0	18.0	8.2
Z003E0149	170.0	85.0	147.0	20.0	2.7
Z003E0150	125.0	50.0	117.0	20.0	2.7
Z003E0151	145.0	75.0	NaN	NaN	NaN
Z003E0152	130.0	50.0	173.0	16.0	3.6
Z003E0153	170.0	70.0	NaN	NaN	NaN
Z003E0154	152.5	55.0	120.0	14.0	3.3
Z003E0155	142.5	45.0	NaN	NaN	NaN
Z003E0156	155.0	75.0	122.0	16.0	2.8
Z003E0157	205.0	95.0	NaN	NaN	NaN
Z003E0158	160.0	40.0	125.0	18.0	4.3
Z003E0159	185.0	85.0	164.0	16.0	3.6
Z003E0160	175.0	90.0	144.0	16.0	5.6
Z003E0161	185.0	90.0	138.0	18.0	7.8
Z003E0162	125.0	55.0	NaN	NaN	NaN
Z003E0163	185.0	100.0	134.0	11.0	4.3
Z003E0164	190.0	100.0	109.5	NaN	NaN
Z003E0165	140.0	75.0	NaN	NaN	NaN
Z003E0166	130.0	47.5	120.0	12.0	4.3
Z003E0167	155.0	65.0	NaN	NaN	NaN
Z003E0168	155.0	55.0	117.0	14.0	4.6
Z003E0169	165.0	70.0	NaN	NaN	NaN
Z003E0170	140.0	60.0	161.0	14.0	2.6
Z003E0171	140.0	60.0	NaN	NaN	NaN
Z003E0172	175.0	95.0	166.0	14.0	3.8
Z003E0173	150.0	75.0	135.0	NaN	3.5
Z003E0174	155.0	85.0	194.0	14.0	2.9
Z003E0175	135.0	55.0	163.0	16.0	3.7
Z003E0176	155.0	70.0	89.0	12.0	2.1
Z003E0177	160.0	65.0	NaN	NaN	NaN
Z003E0178	145.0	70.0	NaN	NaN	NaN
Z003E0179	165.0	75.0	135.0	16.0	3.6
Z003E0180	155.0	85.0	116.0	16.0	3.3
Z003E0181	155.0	65.0	188.0	16.0	5.6
Z003E0182	175.0	100.0	128.0	18.0	4.85
Z003E0183	160.0	90.0	106.0	14.0	3.2
Z003E0184	155.0	60.0	NaN	NaN	NaN
Z003E0185	140.0	65.0	92.0	12.0	3.1
Z003E0186	175.0	85.0	NaN	NaN	NaN
Z003E0187	150.0	75.0	134.0	18.0	3.3
Z003E0188	NaN	NaN	NaN	NaN	NaN
Z003E0189	NaN	NaN	NaN	NaN	NaN
Z003E0190	155.0	80.0	124.0	13.0	4.8
Z003E0191	200.0	100.0	NaN	NaN	NaN
Z003E0192	175.0	80.0	NaN	NaN	NaN
Z003E0193	160.0	70.0	NaN	NaN	NaN
Z003E0194	110.0	55.0	NaN	NaN	NaN
Z003E0195	155.0	75.0	90.0	12.0	3.7
Z003E0196	147.5	60.0	132.0	14.0	4.0
Z003E0197	140.0	60.0	95.0	14.0	3.6
Z003E0198	195.0	75.0	134.0	16.0	3.5
Z003E0199	125.0	50.0	147.0	19.0	2.8
Z003E0200	190.0	100.0	NaN	NaN	NaN
Z003E0201	159.0	72.0	128.3636364	16.8	5.336363636
Z003E0202	NaN	NaN	NaN	NaN	NaN
Z003E0212	NaN	NaN	NaN	NaN	NaN
Z003E0220	NaN	NaN	NaN	NaN	NaN
Z003E0266	NaN	NaN	NaN	NaN	NaN
Z004E0001	140.0	65.0	136.0	22.0	3.5
Z004E0002	100.0	45.0	141.0	20.0	2.7
Z004E0003	145.0	65.0	117.5	16.5	4.15
Z004E0004	165.0	80.0	NaN	NaN	NaN
Z004E0005	130.0	60.0	92.0	16.0	4.05
Z004E0006	155.0	65.0	135.0	15.0	3.7
Z004E0007	185.0	95.0	150.0	17.0	2.5
Z004E0008	190.0	95.0	NaN	NaN	NaN
Z004E0009	150.0	75.0	144.0	16.0	3.5
Z004E0010	NaN	NaN	NaN	NaN	NaN
Z004E0011	130.0	55.0	NaN	NaN	NaN
Z004E0012	NaN	NaN	NaN	NaN	NaN
Z004E0013	170.0	75.0	NaN	NaN	2.1
Z004E0014	145.0	55.0	120.0	16.0	2.2
Z004E0015	160.0	85.0	NaN	NaN	NaN
Z004E0016	155.0	75.0	NaN	NaN	2.1
Z004E0017	175.0	60.0	NaN	NaN	2.0
Z004E0018	125.0	65.0	124.0	16.0	2.0
Z004E0019	150.0	65.0	99.0	18.0	2.8
Z004E0020	145.0	70.0	NaN	NaN	NaN
Z004E0021	NaN	NaN	NaN	NaN	NaN
Z004E0022	115.0	35.0	NaN	NaN	NaN
Z004E0023	155.0	65.0	NaN	NaN	NaN
Z004E0024	190.0	95.0	NaN	NaN	NaN
Z004E0025	NaN	NaN	NaN	NaN	NaN
Z004E0026	145.0	85.0	NaN	NaN	NaN
Z004E0027	135.0	50.0	119.0	20.0	2.7
Z004E0028	NaN	NaN	NaN	NaN	2.8
Z004E0029	150.0	65.0	NaN	NaN	NaN
Z004E0030	125.0	55.0	NaN	NaN	NaN
Z004E0031	140.0	70.0	NaN	NaN	NaN
Z004E0032	175.0	105.0	NaN	NaN	NaN
Z004E0033	155.0	90.0	NaN	NaN	NaN
Z004E0034	115.0	50.0	NaN	NaN	NaN
Z004E0035	175.0	100.0	124.0	17.0	2.8
Z004E0036	130.0	55.0	NaN	NaN	NaN
Z004E0037	150.0	80.0	NaN	NaN	NaN
Z004E0038	NaN	NaN	NaN	NaN	NaN
Z004E0039	130.0	55.0	141.0	16.0	3.0
Z004E0040	130.0	60.0	142.0	14.0	4.3
Z004E0041	185.0	90.0	178.0	14.0	3.1
Z004E0042	175.0	95.0	134.0	18.0	3.6
Z004E0043	135.0	65.0	NaN	NaN	NaN
Z004E0044	NaN	NaN	NaN	NaN	NaN
Z004E0045	180.0	90.0	121.0	20.0	2.8
Z004E0046	145.0	65.0	NaN	NaN	NaN
Z004E0047	135.0	60.0	NaN	NaN	NaN
Z004E0048	155.0	70.0	NaN	NaN	NaN
Z004E0049	145.0	75.0	NaN	NaN	NaN
Z004E0050	150.0	75.0	NaN	NaN	NaN
Z004E0051	135.0	55.0	NaN	NaN	NaN
Z004E0052	150.0	75.0	NaN	NaN	3.45
Z004E0053	NaN	NaN	NaN	NaN	NaN
Z004E0054	190.0	115.0	146.0	18.0	2.3
Z004E0055	155.0	70.0	NaN	NaN	NaN
Z004E0056	135.0	75.0	NaN	NaN	NaN
Z004E0057	115.0	45.0	NaN	NaN	NaN
Z004E0058	145.0	60.0	NaN	NaN	NaN
Z004E0059	160.0	75.0	NaN	NaN	NaN
Z004E0060	NaN	NaN	117.0	16.0	1.4
Z004E0061	125.0	60.0	NaN	NaN	NaN
Z004E0062	125.0	55.0	130.0	18.0	4.4
Z004E0063	155.0	65.0	NaN	NaN	NaN
Z004E0064	165.0	90.0	88.0	18.0	2.8
Z004E0065	145.0	60.0	NaN	NaN	NaN
Z004E0066	150.0	60.0	NaN	NaN	NaN
Z004E0067	155.0	75.0	NaN	NaN	NaN
Z004E0068	155.0	75.0	105.0	18.0	NaN
Z004E0069	160.0	85.0	NaN	NaN	3.8
Z004E0070	160.0	55.0	NaN	NaN	NaN
Z004E0071	155.0	65.0	119.0	18.0	3.6
Z004E0072	160.0	90.0	137.0	16.0	2.6
Z004E0073	160.0	95.0	153.0	18.0	2.9
Z004E0074	160.0	70.0	141.0	16.0	3.7
Z004E0075	155.0	65.0	158.0	19.0	2.3
Z004E0076	155.0	75.0	NaN	NaN	2.4
Z004E0077	130.0	65.0	NaN	NaN	NaN
Z004E0078	NaN	NaN	NaN	NaN	NaN
Z004E0079	152.5	67.5	132.5	15.5	2.3
Z004E0080	NaN	NaN	120.0	16.0	2.2
Z004E0081	125.0	45.0	NaN	NaN	2.5
Z004E0082	140.0	70.0	126.0	18.0	2.85
Z004E0083	160.0	75.0	NaN	NaN	NaN
Z004E0084	175.0	90.0	NaN	NaN	NaN
Z004E0085	145.0	65.0	115.0	16.0	3.0
Z004E0086	160.0	70.0	142.0	17.0	3.2
Z004E0087	150.0	80.0	145.0	18.0	1.7
Z004E0088	130.0	60.0	124.0	14.0	2.4
Z004E0089	165.0	85.0	160.0	16.0	3.7
Z004E0090	135.0	70.0	149.0	14.0	3.2
Z004E0091	165.0	95.0	NaN	NaN	3.3
Z004E0092	NaN	NaN	NaN	NaN	NaN
Z004E0093	160.0	75.0	NaN	NaN	NaN
Z004E0094	130.0	70.0	157.0	14.0	2.7
Z004E0095	130.0	55.0	141.0	15.0	2.8
Z004E0096	190.0	100.0	NaN	NaN	NaN
Z004E0097	135.0	55.0	142.0	18.0	2.5
Z004E0098	130.0	45.0	NaN	NaN	3.35
Z004E0099	NaN	NaN	NaN	NaN	NaN
Z004E0100	95.0	35.0	145.0	23.0	3.0
Z004E0101	130.0	55.0	NaN	NaN	NaN
Z004E0102	135.0	45.0	NaN	NaN	5.2
Z004E0103	NaN	NaN	111.0	16.0	2.5
Z004E0104	175.0	95.0	157.0	14.0	3.6
Z004E0105	170.0	85.0	130.0	21.0	3.3
Z004E0106	NaN	NaN	NaN	NaN	NaN
Z004E0107	NaN	NaN	113.0	20.0	1.3
Z004E0108	NaN	NaN	100.0	18.0	2.0
Z004E0109	155.0	75.0	113.0	16.0	NaN
Z004E0110	130.0	60.0	117.0	16.0	1.7
Z004E0111	155.0	70.0	162.0	16.0	4.4
Z004E0112	180.0	85.0	NaN	NaN	NaN
Z004E0113	155.0	75.0	122.0	20.0	3.3
Z004E0114	155.0	70.0	NaN	NaN	NaN
Z004E0115	175.0	70.0	170.0	22.0	2.9
Z004E0116	135.0	80.0	126.0	14.0	2.2
Z004E0117	155.0	65.0	184.5	15.0	3.85
Z004E0118	157.5	95.0	NaN	NaN	2.75
Z004E0119	160.0	90.0	162.0	16.0	NaN
Z004E0120	NaN	NaN	NaN	NaN	NaN
Z004E0121	200.0	95.0	NaN	NaN	NaN
Z004E0122	155.0	80.0	NaN	NaN	NaN
Z004E0123	160.0	65.0	129.0	14.0	3.3
Z004E0124	115.0	35.0	116.5	15.5	2.75
Z004E0125	115.0	35.0	NaN	NaN	NaN
Z004E0126	95.0	30.0	NaN	NaN	NaN
Z004E0127	NaN	NaN	NaN	NaN	NaN
Z004E0128	130.0	65.0	152.0	16.0	3.6
Z004E0129	NaN	NaN	NaN	NaN	NaN
Z004E0130	180.0	70.0	NaN	NaN	NaN
Z004E0131	140.0	65.0	105.5	NaN	2.4
Z004E0132	130.0	55.0	NaN	NaN	NaN
Z004E0133	130.0	45.0	144.0	14.0	3.2
Z004E0134	150.0	60.0	126.0	16.0	4.0
Z004E0135	135.0	70.0	86.0	16.0	1.75
Z004E0136	165.0	80.0	NaN	NaN	NaN
Z004E0137	NaN	NaN	NaN	NaN	NaN
Z004E0138	180.0	115.0	152.0	16.0	3.2
Z004E0139	140.0	60.0	NaN	NaN	NaN
Z004E0140	120.0	65.0	NaN	NaN	2.9
Z004E0141	150.0	75.0	NaN	NaN	NaN
Z004E0142	170.0	80.0	NaN	NaN	2.5
Z004E0143	160.0	85.0	173.0	16.0	2.3
