<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
Z001E0061	145.0	60.0	134.0	13.0	5.05
Z001E0062	170.0	70.0	174.0	18.0	4.6
Z001E0063	190.0	100.0	157.0	14.0	5.0
Z001E0064	135.0	50.0	109.0	14.0	4.2
Z001E0065	115.0	45.0	98.0	15.0	2.9
Z001E0066	155.0	80.0	159.0	16.0	4.5
Z001E0067	160.0	85.0	134.0	14.0	3.4
Z001E0068	180.0	100.0	142.0	14.0	3.55
Z001E0069	145.0	50.0	166.0	16.0	4.6
Z001E0070	200.0	100.0	137.0	14.0	4.6
Z001E0071	145.0	65.0	148.0	14.0	4.9
Z001E0072	NaN	NaN	NaN	NaN	NaN
Z001E0073	180.0	85.0	140.0	16.0	2.9
Z001E0074	120.0	45.0	141.0	14.0	3.9
Z001E0075	140.0	65.0	NaN	NaN	NaN
Z001E0076	150.0	50.0	156.0	12.0	4.8
Z001E0077	155.0	55.0	116.0	16.0	3.7
Z001E0078	165.0	85.0	181.0	16.0	4.5
Z001E0079	125.0	45.0	103.0	NaN	2.9
Z001E0080	195.0	75.0	161.0	14.0	3.7
Z001E0081	165.0	75.0	133.0	14.0	4.0
Z001E0082	145.0	35.0	114.0	14.0	3.9
Z001E0083	165.0	65.0	167.0	10.0	4.1
Z001E0084	165.0	75.0	124.0	16.0	3.5
Z001E0085	115.0	45.0	87.0	12.0	1.4
Z001E0086	145.0	75.0	NaN	16.0	4.15
Z001E0087	160.0	70.0	167.0	16.0	3.6
Z001E0088	190.0	85.0	133.0	16.0	3.85
Z001E0089	200.0	95.0	169.0	16.0	3.4
Z001E0090	195.0	95.0	139.0	NaN	5.7
Z001E0091	155.0	60.0	117.0	12.0	4.4
Z001E0092	105.0	40.0	116.0	NaN	3.4
Z001E0093	160.0	75.0	114.6666667	NaN	NaN
Z001E0094	170.0	75.0	130.0	NaN	3.5
Z001E0095	125.0	50.0	143.0	14.0	5.9
Z001E0096	200.0	90.0	145.0	16.0	4.7
Z001E0097	185.0	90.0	168.0	16.0	4.9
Z001E0098	175.0	75.0	154.0	18.0	3.9
Z001E0099	120.0	50.0	91.0	NaN	NaN
Z001E0100	155.0	60.0	106.0	14.0	2.9
Z001E0101	160.0	50.0	112.0	15.0	4.95
Z001E0102	185.0	80.0	165.0	12.0	4.5
Z001E0103	160.0	65.0	136.0	12.0	5.1
Z001E0104	120.0	55.0	118.0	14.0	3.0
Z001E0105	145.0	60.0	130.0	14.0	NaN
Z001E0106	165.0	60.0	NaN	NaN	NaN
Z001E0107	135.0	50.0	151.0	14.0	4.8
Z001E0108	160.0	70.0	105.0	14.0	5.3
Z001E0109	200.0	95.0	176.0	14.0	5.5
Z001E0110	185.0	95.0	NaN	NaN	4.2
Z001E0111	200.0	90.0	142.0	22.0	3.9
Z001E0112	NaN	NaN	NaN	NaN	NaN
Z001E0113	165.0	50.0	128.5	17.0	2.9
Z001E0114	150.0	75.0	138.0	14.0	3.95
Z001E0115	160.0	75.0	121.0	16.0	3.7
Z001E0116	215.0	125.0	156.0	18.0	3.9
Z001E0117	175.0	90.0	152.0	14.0	5.0
Z001E0118	125.0	60.0	206.0	14.0	6.0
Z001E0119	160.0	55.0	121.0	18.0	5.8
Z001E0120	165.0	60.0	134.0	14.0	4.7
Z001E0121	195.0	95.0	148.0	14.0	6.2
Z001E0122	165.0	65.0	130.0	16.0	4.5
Z001E0123	170.0	75.0	133.0	15.0	5.25
Z001E0124	135.0	55.0	91.0	14.0	6.5
Z001E0125	180.0	65.0	61.0	14.0	6.5
Z001E0126	100.0	35.0	93.0	NaN	3.0
Z001E0127	145.0	50.0	87.0	14.0	3.2
Z001E0128	165.0	80.0	115.0	14.0	4.6
Z001E0129	135.0	55.0	100.0	10.0	2.6
Z001E0130	135.0	60.0	131.0	14.0	2.6
Z001E0131	150.0	55.0	182.0	16.0	4.8
Z001E0132	175.0	80.0	84.0	NaN	5.0
Z001E0133	155.0	60.0	112.0	15.0	4.75
Z001E0134	120.0	55.0	130.0	16.0	3.7
Z001E0135	125.0	35.0	133.0	12.0	2.2
Z001E0136	150.0	65.0	130.0	14.0	4.9
Z001E0137	145.0	55.0	142.0	16.0	4.1
Z001E0138	130.0	50.0	136.0	14.0	5.3
Z001E0139	160.0	80.0	113.0	18.0	5.666666667
Z001E0140	175.0	70.0	173.0	20.0	3.7
Z001E0141	130.0	50.0	146.0	16.0	4.2
Z001E0142	165.0	75.0	133.0	12.0	5.4
Z001E0143	170.0	70.0	190.0	14.0	5.8
Z001E0144	180.0	80.0	163.5	15.0	4.95
Z001E0145	190.0	105.0	95.0	14.0	7.8
Z001E0146	165.0	65.0	137.0	13.0	5.2
Z001E0147	110.0	45.0	89.0	18.0	3.0
Z001E0148	155.0	60.0	123.0	18.0	3.3
Z001E0149	150.0	55.0	141.0	16.0	4.4
Z001E0150	150.0	70.0	125.5	16.0	4.6
Z001E0151	95.0	35.0	NaN	NaN	NaN
Z001E0152	160.0	60.0	117.0	14.0	4.1
Z001E0153	190.0	90.0	126.0	14.0	3.9
Z001E0154	155.0	60.0	118.0	14.0	4.0
Z001E0155	145.0	55.0	129.5	15.0	4.6
Z001E0156	200.0	95.0	171.0	16.0	4.4
Z001E0157	150.0	47.5	147.0	17.0	3.35
Z001E0158	110.0	35.0	134.0	12.0	4.8
Z001E0159	175.0	75.0	127.0	16.0	6.8
Z001E0160	155.0	65.0	109.0	NaN	4.0
Z001E0161	145.0	65.0	118.0	NaN	4.9
Z001E0162	120.0	45.0	112.0	12.0	4.4
Z001E0163	137.5	50.0	124.0	14.0	4.4
Z001E0164	150.0	65.0	143.0	12.0	3.7
Z001E0165	195.0	100.0	NaN	NaN	7.55
Z001E0166	175.0	80.0	152.0	12.0	5.0
Z001E0167	155.0	80.0	177.0	16.0	3.3
Z001E0168	140.0	65.0	132.0	16.0	3.1
Z001E0169	150.0	60.0	117.0	14.0	5.5
Z001E0170	192.5	115.0	114.0	20.0	6.1
Z001E0171	120.0	35.0	NaN	NaN	NaN
Z001E0172	95.0	25.0	125.0	14.0	3.1
Z001E0173	125.0	45.0	92.5	NaN	2.3
Z001E0174	150.0	55.0	158.0	18.0	3.8
Z001E0175	140.0	75.0	127.0	14.0	4.4
Z001E0176	165.0	85.0	138.5	16.0	5.65
Z001E0177	130.0	45.0	145.0	16.0	4.6
Z001E0178	170.0	85.0	152.0	14.0	5.2
Z001E0179	165.0	75.0	141.0	14.0	3.2
Z001E0180	155.0	65.0	NaN	16.0	4.2
Z001E0181	130.0	45.0	170.0	14.0	4.1
Z001E0182	NaN	NaN	NaN	NaN	NaN
Z001E0183	145.0	45.0	NaN	NaN	NaN
Z001E0184	175.0	90.0	184.0	18.0	5.0
Z001E0185	195.0	130.0	161.0	18.0	3.8
Z001E0186	170.0	75.0	123.0	16.0	7.7
Z001E0187	155.0	65.0	128.5	15.0	4.75
Z001E0188	195.0	85.0	144.0	16.0	4.6
Z001E0189	150.0	65.0	131.5	15.0	5.2
Z001E0190	200.0	100.0	150.0	16.0	5.5
Z001E0191	170.0	95.0	171.0	18.0	3.9
Z001E0192	135.0	45.0	142.0	NaN	3.6
Z001E0193	140.0	60.0	180.0	14.0	3.7
Z001E0194	185.0	95.0	149.0	14.0	NaN
Z001E0195	160.0	65.0	150.0	14.0	5.0
Z001E0196	NaN	NaN	NaN	NaN	NaN
Z001E0197	165.0	55.0	125.0	16.0	4.4
Z001E0198	160.0	70.0	155.0	14.0	4.8
Z001E0199	185.0	85.0	104.0	14.0	5.1
Z001E0200	200.0	85.0	129.0	16.0	4.6
Z001E0201	163.1818182	NaN	133.9	NaN	3.866666667
Z001E0202	155.5	65.5	129.0	NaN	4.992857143
Z001E0262	NaN	NaN	NaN	NaN	NaN
Z001E0274	NaN	NaN	NaN	NaN	NaN
Z001E0279	NaN	NaN	NaN	NaN	NaN
Z002E0001	150.0	60.0	NaN	NaN	NaN
Z002E0002	180.0	85.0	187.0	20.0	3.7
Z002E0003	165.0	65.0	168.0	14.66666667	5.0
Z002E0004	145.0	65.0	142.0	12.0	3.0
Z002E0005	135.0	60.0	146.0	18.0	4.1
Z002E0006	160.0	70.0	159.0	NaN	5.25
Z002E0007	120.0	50.0	141.0	14.0	3.8
Z002E0008	195.0	110.0	167.0	16.0	5.0
Z002E0009	145.0	80.0	NaN	NaN	NaN
Z002E0010	145.0	65.0	180.0	NaN	7.0
Z002E0011	135.0	65.0	138.0	13.0	4.2
Z002E0012	185.0	100.0	180.5	16.0	5.85
Z002E0013	125.0	40.0	135.0	14.0	4.9
Z002E0014	135.0	65.0	138.0	14.0	4.4
Z002E0015	150.0	75.0	NaN	NaN	NaN
Z002E0016	175.0	85.0	NaN	NaN	5.8
Z002E0017	170.0	75.0	141.5	15.0	5.45
Z002E0018	155.0	80.0	155.0	10.0	6.9
Z002E0019	185.0	80.0	179.0	18.0	6.05
Z002E0020	175.0	90.0	163.0	14.0	5.7
Z002E0021	130.0	60.0	116.0	NaN	4.1
Z002E0022	150.0	75.0	NaN	NaN	NaN
Z002E0023	145.0	65.0	NaN	12.0	2.4
Z002E0024	145.0	80.0	169.0	14.0	5.1
Z002E0025	160.0	65.0	175.0	14.0	4.7
Z002E0026	160.0	80.0	146.5	15.0	5.7
Z002E0027	165.0	75.0	167.0	14.0	5.5
Z002E0028	150.0	95.0	NaN	NaN	NaN
Z002E0029	150.0	75.0	148.0	14.0	5.6
Z002E0030	130.0	65.0	137.0	16.0	3.2
Z002E0031	155.0	80.0	171.0	13.0	5.8
Z002E0032	140.0	60.0	NaN	NaN	NaN
Z002E0033	105.0	45.0	118.0	14.0	2.7
Z002E0034	160.0	80.0	NaN	NaN	NaN
Z002E0035	160.0	80.0	179.0	12.0	6.3
Z002E0036	160.0	80.0	108.0	12.0	4.9
Z002E0037	195.0	95.0	163.0	14.0	5.55
Z002E0038	150.0	70.0	NaN	NaN	NaN
Z002E0039	155.0	80.0	NaN	NaN	NaN
